"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"vulcan-q-113","1712419794","2","2","0.25","finished","-","dfloresgarcia24","","2024-04-06T16:09:55.000Z","3414","42","16","128","1712419738","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","49639","50","2.4541049003601074","0.886833906173706","0.43536490201950073","0.008982246741652489","3.656695343897893","0.5108945965766907","49152","0.0665474683046341"
"ruby-donkey-91","1711248692","2","1","0","finished","-","dfloresgarcia24","","2024-03-24T02:51:34.000Z","3370","42","16","128","1711248631","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","2.6407768726348877","0.8998909592628479","0.7084877490997314","0.01804133504629135","3.5895613462497025","0.8737931251525879","49152","0.14726407825946808"
"stilted-sponge-93","1711252191","2","1","0.5","finished","-","dfloresgarcia24","","2024-03-24T03:49:52.000Z","3592","42","16","128","1711252065","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","3.180258274078369","0.8995921611785889","0.7510905861854553","0.02044481597840786","3.58620922932258","0.9259077906608582","49152","0.15437239408493042"
"captain-dukat-116","1712425600","2","4","0.25","finished","-","dfloresgarcia24","","2024-04-06T17:46:41.000Z","3424","42","16","128","1712425542","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","49900","50","0.30312085151672363","0.8560463190078735","0.028767000883817673","0.0011477286461740732","3.8765252480140098","0.03585876524448395","49152","0.0059440345503389835"
"prime-dominion-118","1712429081","2","1","0.25","finished","-","dfloresgarcia24","","2024-04-06T18:44:41.000Z","3397","42","16","128","1712429026","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","49488","50","4.503908634185791","0.8948033452033997","1.1608452796936035","0.014052917249500751","3.611513785215525","1.3334829807281494","49152","0.15858487784862518"
"comic-thunder-101","1711263534","2","2","0.5","finished","-","dfloresgarcia24","","2024-03-24T06:58:55.000Z","3574","42","16","128","1711263471","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","3.1369874477386475","0.912976324558258","0.5694454908370972","0.01264642272144556","3.5196620568251","0.677379846572876","49152","0.09528789669275284"
"major-water-103","1711267175","2","2","1","finished","-","dfloresgarcia24","","2024-03-24T07:59:35.000Z","3585","42","16","128","1711267110","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","2.004277229309082","0.9105207324028016","0.490224689245224","0.00940836314111948","3.536788415297484","0.5907142758369446","49152","0.09108123928308488"
"trim-moon-104","1711268219","1","4","1","finished","-","dfloresgarcia24","","2024-03-24T08:16:59.000Z","2401","42","16","128","1711268175","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","0.03823193162679672","0.9069069027900696","0.0021158549934625626","0.00032918687793426216","3.623527487424704","0.003026503138244152","32768","0.0005814612377434969"
"good-star-99","1711260867","1","2","1","finished","-","dfloresgarcia24","","2024-03-24T06:14:28.000Z","2409","42","16","128","1711260826","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","3.651013612747192","0.9037084579467772","0.854668378829956","0.013345088809728622","3.5716307722605194","1.05019211769104","32768","0.18217861652374268"
"ethereal-breeze-100","1711263321","1","4","0","finished","-","dfloresgarcia24","","2024-03-24T06:55:21.000Z","2404","42","16","128","1711263278","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","0.09716706722974776","0.9084935784339904","0.0035221436992287636","0.0002614989934954792","3.616592070689568","0.004984092433005571","32768","0.0012004498858004808"
